date,state,gender,legal,indigenous,count
2005-09-01,VIC,Female,Sentenced,ATSI,0
2005-09-01,VIC,Female,Sentenced,Other,0
2005-09-01,VIC,Male,Remanded,ATSI,43
2005-09-01,VIC,Male,Remanded,Other,550
2005-09-01,VIC,Male,Sentenced,ATSI,0
2005-09-01,VIC,Male,Sentenced,Other,0
2005-09-01,WA,Female,Remanded,ATSI,28
2005-09-01,WA,Female,Remanded,Other,21
2005-09-01,WA,Female,Sentenced,ATSI,0
2005-09-01,WA,Female,Sentenced,Other,0
2005-09-01,WA,Male,Remanded,ATSI,178
2005-09-01,WA,Male,Remanded,Other,326
2005-09-01,WA,Male,Sentenced,ATSI,0
2005-09-01,WA,Male,Sentenced,Other,0
2005-12-01,ACT,Female,Remanded,ATSI,0
2005-12-01,ACT,Female,Remanded,Other,4
2005-12-01,ACT,Female,Sentenced,ATSI,0
2005-12-01,ACT,Female,Sentenced,Other,0
2005-12-01,ACT,Male,Remanded,ATSI,9
2005-12-01,ACT,Male,Remanded,Other,54
2005-12-01,ACT,Male,Sentenced,ATSI,0
2005-12-01,ACT,Male,Sentenced,Other,0
2005-12-01,NSW,Female,Remanded,ATSI,48
2005-12-01,NSW,Female,Remanded,Other,124
2005-12-01,NSW,Female,Sentenced,ATSI,0
2005-12-01,NSW,Female,Sentenced,Other,0
2005-12-01,NSW,Male,Remanded,ATSI,334
2005-12-01,NSW,Male,Remanded,Other,1526
2005-12-01,NSW,Male,Sentenced,ATSI,0
2005-12-01,NSW,Male,Sentenced,Other,0
2005-12-01,NT,Female,Remanded,ATSI,7
2005-12-01,NT,Female,Remanded,Other,3
2005-12-01,NT,Female,Sentenced,ATSI,0
2005-12-01,NT,Female,Sentenced,Other,0
2005-12-01,NT,Male,Remanded,ATSI,96
2005-12-01,NT,Male,Remanded,Other,29
2005-12-01,NT,Male,Sentenced,ATSI,0
2005-12-01,NT,Male,Sentenced,Other,0
2005-12-01,QLD,Female,Remanded,ATSI,22
2005-12-01,QLD,Female,Remanded,Other,59
2005-12-01,QLD,Female,Sentenced,ATSI,0
2005-12-01,QLD,Female,Sentenced,Other,0
2005-12-01,QLD,Male,Remanded,ATSI,233
2005-12-01,QLD,Male,Remanded,Other,752
2005-12-01,QLD,Male,Sentenced,ATSI,0
2005-12-01,QLD,Male,Sentenced,Other,0
2005-12-01,SA,Female,Remanded,ATSI,12
2005-12-01,SA,Female,Remanded,Other,32
2005-12-01,SA,Female,Sentenced,ATSI,0
2005-12-01,SA,Female,Sentenced,Other,0
2005-12-01,SA,Male,Remanded,ATSI,112
2005-12-01,SA,Male,Remanded,Other,392
2005-12-01,SA,Male,Sentenced,ATSI,0
2005-12-01,SA,Male,Sentenced,Other,0
2005-12-01,TAS,Female,Remanded,ATSI,2
2005-12-01,TAS,Female,Remanded,Other,10
2005-12-01,TAS,Female,Sentenced,ATSI,0
2005-12-01,TAS,Female,Sentenced,Other,0
2005-12-01,TAS,Male,Remanded,ATSI,16
2005-12-01,TAS,Male,Remanded,Other,86
2005-12-01,TAS,Male,Sentenced,ATSI,0
2005-12-01,TAS,Male,Sentenced,Other,0
2005-12-01,VIC,Female,Remanded,ATSI,5
2005-12-01,VIC,Female,Remanded,Other,49
2005-12-01,VIC,Female,Sentenced,ATSI,0
2005-12-01,VIC,Female,Sentenced,Other,0
2005-12-01,VIC,Male,Remanded,ATSI,41
2005-12-01,VIC,Male,Remanded,Other,561
2005-12-01,VIC,Male,Sentenced,ATSI,0
2005-12-01,VIC,Male,Sentenced,Other,0
2005-12-01,WA,Female,Remanded,ATSI,19
2005-12-01,WA,Female,Remanded,Other,24
2005-12-01,WA,Female,Sentenced,ATSI,0
2005-12-01,WA,Female,Sentenced,Other,0
2005-12-01,WA,Male,Remanded,ATSI,181
2005-12-01,WA,Male,Remanded,Other,307
2005-12-01,WA,Male,Sentenced,ATSI,0
2005-12-01,WA,Male,Sentenced,Other,0
2006-03-01,ACT,Female,Remanded,ATSI,1
2006-03-01,ACT,Female,Remanded,Other,3
2006-03-01,ACT,Female,Sentenced,ATSI,0
2006-03-01,ACT,Female,Sentenced,Other,0
2006-03-01,ACT,Male,Remanded,ATSI,12
2006-03-01,ACT,Male,Remanded,Other,48
2006-03-01,ACT,Male,Sentenced,ATSI,0
2006-03-01,ACT,Male,Sentenced,Other,0
2006-03-01,NSW,Female,Remanded,ATSI,55
2006-03-01,NSW,Female,Remanded,Other,136
2006-03-01,NSW,Female,Sentenced,ATSI,0
2006-03-01,NSW,Female,Sentenced,Other,0
2006-03-01,NSW,Male,Remanded,ATSI,391
2006-03-01,NSW,Male,Remanded,Other,1576
2006-03-01,NSW,Male,Sentenced,ATSI,0
2006-03-01,NSW,Male,Sentenced,Other,0
2006-03-01,NT,Female,Remanded,ATSI,9
2006-03-01,NT,Female,Remanded,Other,3
2006-03-01,NT,Female,Sentenced,ATSI,0
2006-03-01,NT,Female,Sentenced,Other,0
2006-03-01,NT,Male,Remanded,ATSI,119
2006-03-01,NT,Male,Remanded,Other,22
2006-03-01,NT,Male,Sentenced,ATSI,0
2006-03-01,NT,Male,Sentenced,Other,0
2006-03-01,QLD,Female,Remanded,ATSI,20
2006-03-01,QLD,Female,Remanded,Other,60
2006-03-01,QLD,Female,Sentenced,ATSI,0
2006-03-01,QLD,Female,Sentenced,Other,0
2006-03-01,QLD,Male,Remanded,ATSI,270
2006-03-01,QLD,Male,Remanded,Other,768
2006-03-01,QLD,Male,Sentenced,ATSI,0
2006-03-01,QLD,Male,Sentenced,Other,0
2006-03-01,SA,Female,Remanded,ATSI,13
2006-03-01,SA,Female,Remanded,Other,28
2006-03-01,SA,Female,Sentenced,ATSI,0
2006-03-01,SA,Female,Sentenced,Other,0
2006-03-01,SA,Male,Remanded,ATSI,100
2006-03-01,SA,Male,Remanded,Other,381
2006-03-01,SA,Male,Sentenced,ATSI,0
2006-03-01,SA,Male,Sentenced,Other,0
2006-03-01,TAS,Female,Remanded,ATSI,4
2006-03-01,TAS,Female,Remanded,Other,7
2006-03-01,TAS,Female,Sentenced,ATSI,0
2006-03-01,TAS,Female,Sentenced,Other,0
2006-03-01,TAS,Male,Remanded,ATSI,12
2006-03-01,TAS,Male,Remanded,Other,77
2006-03-01,TAS,Male,Sentenced,ATSI,0
2006-03-01,TAS,Male,Sentenced,Other,0
2006-03-01,VIC,Female,Remanded,ATSI,4
2006-03-01,VIC,Female,Remanded,Other,46
2006-03-01,VIC,Female,Sentenced,ATSI,0
2006-03-01,VIC,Female,Sentenced,Other,0
2006-03-01,VIC,Male,Remanded,ATSI,39
2006-03-01,VIC,Male,Remanded,Other,566
2006-03-01,VIC,Male,Sentenced,ATSI,0
2006-03-01,VIC,Male,Sentenced,Other,0
2006-03-01,WA,Female,Remanded,ATSI,29
2006-03-01,WA,Female,Remanded,Other,24
2006-03-01,WA,Female,Sentenced,ATSI,0
2006-03-01,WA,Female,Sentenced,Other,0
2006-03-01,WA,Male,Remanded,ATSI,214
2006-03-01,WA,Male,Remanded,Other,316
2006-03-01,WA,Male,Sentenced,ATSI,0
2006-03-01,WA,Male,Sentenced,Other,0
2006-06-01,ACT,Female,Remanded,ATSI,1
2006-06-01,ACT,Female,Remanded,Other,5
2006-06-01,ACT,Female,Sentenced,ATSI,0
2006-06-01,ACT,Female,Sentenced,Other,0
2006-06-01,ACT,Male,Remanded,ATSI,9
2006-06-01,ACT,Male,Remanded,Other,56
2006-06-01,ACT,Male,Sentenced,ATSI,0
2006-06-01,ACT,Male,Sentenced,Other,0
2006-06-01,NSW,Female,Remanded,ATSI,53
2006-06-01,NSW,Female,Remanded,Other,141
2006-06-01,NSW,Female,Sentenced,ATSI,0
2006-06-01,NSW,Female,Sentenced,Other,0
2006-06-01,NSW,Male,Remanded,ATSI,402
2006-06-01,NSW,Male,Remanded,Other,1603
2006-06-01,NSW,Male,Sentenced,ATSI,0
2006-06-01,NSW,Male,Sentenced,Other,0
2006-06-01,NT,Female,Remanded,ATSI,11
2006-06-01,NT,Female,Remanded,Other,2
2006-06-01,NT,Female,Sentenced,ATSI,0
2006-06-01,NT,Female,Sentenced,Other,0
2006-06-01,NT,Male,Remanded,ATSI,121
2006-06-01,NT,Male,Remanded,Other,19
2006-06-01,NT,Male,Sentenced,ATSI,0
2006-06-01,NT,Male,Sentenced,Other,0
2006-06-01,QLD,Female,Remanded,ATSI,22
2006-06-01,QLD,Female,Remanded,Other,60
2006-06-01,QLD,Female,Sentenced,ATSI,0
2006-06-01,QLD,Female,Sentenced,Other,0
2006-06-01,QLD,Male,Remanded,ATSI,256
2006-06-01,QLD,Male,Remanded,Other,828
2006-06-01,QLD,Male,Sentenced,ATSI,0
2006-06-01,QLD,Male,Sentenced,Other,0
2006-06-01,SA,Female,Remanded,ATSI,9
2006-06-01,SA,Female,Remanded,Other,28
2006-06-01,SA,Female,Sentenced,ATSI,0
2006-06-01,SA,Female,Sentenced,Other,0
2006-06-01,SA,Male,Remanded,ATSI,113
2006-06-01,SA,Male,Remanded,Other,412
2006-06-01,SA,Male,Sentenced,ATSI,0
2006-06-01,SA,Male,Sentenced,Other,0
2006-06-01,TAS,Female,Remanded,ATSI,2
2006-06-01,TAS,Female,Remanded,Other,7
2006-06-01,TAS,Female,Sentenced,ATSI,0
2006-06-01,TAS,Female,Sentenced,Other,0
2006-06-01,TAS,Male,Remanded,ATSI,15
2006-06-01,TAS,Male,Remanded,Other,97
2006-06-01,TAS,Male,Sentenced,ATSI,0
2006-06-01,TAS,Male,Sentenced,Other,0
2006-06-01,VIC,Female,Remanded,ATSI,5
2006-06-01,VIC,Female,Remanded,Other,42
2006-06-01,VIC,Female,Sentenced,ATSI,0
2006-06-01,VIC,Female,Sentenced,Other,0
2006-06-01,VIC,Male,Remanded,ATSI,40
2006-06-01,VIC,Male,Remanded,Other,557
2006-06-01,VIC,Male,Sentenced,ATSI,0
2006-06-01,VIC,Male,Sentenced,Other,0
2006-06-01,WA,Female,Remanded,ATSI,31
2006-06-01,WA,Female,Remanded,Other,22
2006-06-01,WA,Female,Sentenced,ATSI,0
2006-06-01,WA,Female,Sentenced,Other,0
2006-06-01,WA,Male,Remanded,ATSI,213
2006-06-01,WA,Male,Remanded,Other,331
2006-06-01,WA,Male,Sentenced,ATSI,0
2006-06-01,WA,Male,Sentenced,Other,0
2006-09-01,ACT,Female,Remanded,ATSI,1
2006-09-01,ACT,Female,Remanded,Other,8
2006-09-01,ACT,Female,Sentenced,ATSI,0
2006-09-01,ACT,Female,Sentenced,Other,0
2006-09-01,ACT,Male,Remanded,ATSI,8
2006-09-01,ACT,Male,Remanded,Other,44
2006-09-01,ACT,Male,Sentenced,ATSI,0
2006-09-01,ACT,Male,Sentenced,Other,0
2006-09-01,NSW,Female,Remanded,ATSI,53
2006-09-01,NSW,Female,Remanded,Other,149
2006-09-01,NSW,Female,Sentenced,ATSI,0
2006-09-01,NSW,Female,Sentenced,Other,0
2006-09-01,NSW,Male,Remanded,ATSI,365
2006-09-01,NSW,Male,Remanded,Other,1666
2006-09-01,NSW,Male,Sentenced,ATSI,0
2006-09-01,NSW,Male,Sentenced,Other,0
2006-09-01,NT,Female,Remanded,ATSI,10
2006-09-01,NT,Female,Remanded,Other,1
2006-09-01,NT,Female,Sentenced,ATSI,0
2006-09-01,NT,Female,Sentenced,Other,0
2006-09-01,NT,Male,Remanded,ATSI,135
2006-09-01,NT,Male,Remanded,Other,23
2006-09-01,NT,Male,Sentenced,ATSI,0
2006-09-01,NT,Male,Sentenced,Other,0
2006-09-01,QLD,Female,Remanded,ATSI,24
2006-09-01,QLD,Female,Remanded,Other,65
2006-09-01,QLD,Female,Sentenced,ATSI,0
2006-09-01,QLD,Female,Sentenced,Other,0
2006-09-01,QLD,Male,Remanded,ATSI,251
2006-09-01,QLD,Male,Remanded,Other,860
2006-09-01,QLD,Male,Sentenced,ATSI,0
2006-09-01,QLD,Male,Sentenced,Other,0
2006-09-01,SA,Female,Remanded,ATSI,7
2006-09-01,SA,Female,Remanded,Other,29
2006-09-01,SA,Female,Sentenced,ATSI,0
2006-09-01,SA,Female,Sentenced,Other,0
2006-09-01,SA,Male,Remanded,ATSI,103
2006-09-01,SA,Male,Remanded,Other,411
2006-09-01,SA,Male,Sentenced,ATSI,0
2006-09-01,SA,Male,Sentenced,Other,0
2006-09-01,TAS,Female,Remanded,ATSI,3
2006-09-01,TAS,Female,Remanded,Other,11
2006-09-01,TAS,Female,Sentenced,ATSI,0
2006-09-01,TAS,Female,Sentenced,Other,0
2006-09-01,TAS,Male,Remanded,ATSI,18
2006-09-01,TAS,Male,Remanded,Other,106
2006-09-01,TAS,Male,Sentenced,ATSI,0
2006-09-01,TAS,Male,Sentenced,Other,0
2006-09-01,VIC,Female,Remanded,ATSI,3
2006-09-01,VIC,Female,Remanded,Other,45
2006-09-01,VIC,Female,Sentenced,ATSI,0
2006-09-01,VIC,Female,Sentenced,Other,0
2006-09-01,VIC,Male,Remanded,ATSI,50
2006-09-01,VIC,Male,Remanded,Other,637
2006-09-01,VIC,Male,Sentenced,ATSI,0
2006-09-01,VIC,Male,Sentenced,Other,0
2006-09-01,WA,Female,Remanded,ATSI,29
2006-09-01,WA,Female,Remanded,Other,28
2006-09-01,WA,Female,Sentenced,ATSI,0
2006-09-01,WA,Female,Sentenced,Other,0
2006-09-01,WA,Male,Remanded,ATSI,196
2006-09-01,WA,Male,Remanded,Other,347
2006-09-01,WA,Male,Sentenced,ATSI,0
2006-09-01,WA,Male,Sentenced,Other,0
2006-12-01,ACT,Female,Remanded,ATSI,0
2006-12-01,ACT,Female,Remanded,Other,6
2006-12-01,ACT,Female,Sentenced,ATSI,0
2006-12-01,ACT,Female,Sentenced,Other,0
2006-12-01,ACT,Male,Remanded,ATSI,7
2006-12-01,ACT,Male,Remanded,Other,51
2006-12-01,ACT,Male,Sentenced,ATSI,0
2006-12-01,ACT,Male,Sentenced,Other,0
2006-12-01,NSW,Female,Remanded,ATSI,64
2006-12-01,NSW,Female,Remanded,Other,154
2006-12-01,NSW,Female,Sentenced,ATSI,0
2006-12-01,NSW,Female,Sentenced,Other,0
2006-12-01,NSW,Male,Remanded,ATSI,378
2006-12-01,NSW,Male,Remanded,Other,1696
2006-12-01,NSW,Male,Sentenced,ATSI,0
2006-12-01,NSW,Male,Sentenced,Other,0
2006-12-01,NT,Female,Remanded,ATSI,7
2006-12-01,NT,Female,Remanded,Other,0
2006-12-01,NT,Female,Sentenced,ATSI,0
2006-12-01,NT,Female,Sentenced,Other,0
2006-12-01,NT,Male,Remanded,ATSI,150
2006-12-01,NT,Male,Remanded,Other,25
2006-12-01,NT,Male,Sentenced,ATSI,0
2006-12-01,NT,Male,Sentenced,Other,0
2006-12-01,QLD,Female,Remanded,ATSI,30
2006-12-01,QLD,Female,Remanded,Other,65
2006-12-01,QLD,Female,Sentenced,ATSI,0
2006-12-01,QLD,Female,Sentenced,Other,0
2006-12-01,QLD,Male,Remanded,ATSI,269
2006-12-01,QLD,Male,Remanded,Other,858
2006-12-01,QLD,Male,Sentenced,ATSI,0
2006-12-01,QLD,Male,Sentenced,Other,0
2006-12-01,SA,Female,Remanded,ATSI,9
2006-12-01,SA,Female,Remanded,Other,32
2006-12-01,SA,Female,Sentenced,ATSI,0
2006-12-01,SA,Female,Sentenced,Other,0
2006-12-01,SA,Male,Remanded,ATSI,108
2006-12-01,SA,Male,Remanded,Other,404
2006-12-01,SA,Male,Sentenced,ATSI,0
2006-12-01,SA,Male,Sentenced,Other,0
2006-12-01,TAS,Female,Remanded,ATSI,8
2006-12-01,TAS,Female,Remanded,Other,8
2006-12-01,TAS,Female,Sentenced,ATSI,0
2006-12-01,TAS,Female,Sentenced,Other,0
2006-12-01,TAS,Male,Remanded,ATSI,15
2006-12-01,TAS,Male,Remanded,Other,90
2006-12-01,TAS,Male,Sentenced,ATSI,0
2006-12-01,TAS,Male,Sentenced,Other,0
2006-12-01,VIC,Female,Remanded,ATSI,2
2006-12-01,VIC,Female,Remanded,Other,43
2006-12-01,VIC,Female,Sentenced,ATSI,0
2006-12-01,VIC,Female,Sentenced,Other,0
2006-12-01,VIC,Male,Remanded,ATSI,48
2006-12-01,VIC,Male,Remanded,Other,674
2006-12-01,VIC,Male,Sentenced,ATSI,0
2006-12-01,VIC,Male,Sentenced,Other,0
2006-12-01,WA,Female,Remanded,ATSI,36
2006-12-01,WA,Female,Remanded,Other,32
2006-12-01,WA,Female,Sentenced,ATSI,0
2006-12-01,WA,Female,Sentenced,Other,0
2006-12-01,WA,Male,Remanded,ATSI,217
2006-12-01,WA,Male,Remanded,Other,348
2006-12-01,WA,Male,Sentenced,ATSI,0
2006-12-01,WA,Male,Sentenced,Other,0
2007-03-01,ACT,Female,Remanded,ATSI,0
2007-03-01,ACT,Female,Remanded,Other,4
2007-03-01,ACT,Female,Sentenced,ATSI,0
2007-03-01,ACT,Female,Sentenced,Other,0
2007-03-01,ACT,Male,Remanded,ATSI,6
2007-03-01,ACT,Male,Remanded,Other,53
2007-03-01,ACT,Male,Sentenced,ATSI,0
2007-03-01,ACT,Male,Sentenced,Other,0
2007-03-01,NSW,Female,Remanded,ATSI,58
2007-03-01,NSW,Female,Remanded,Other,159
2007-03-01,NSW,Female,Sentenced,ATSI,0
2007-03-01,NSW,Female,Sentenced,Other,0
2007-03-01,NSW,Male,Remanded,ATSI,389
2007-03-01,NSW,Male,Remanded,Other,1765
2007-03-01,NSW,Male,Sentenced,ATSI,0
2007-03-01,NSW,Male,Sentenced,Other,0
2007-03-01,NT,Female,Remanded,ATSI,11
2007-03-01,NT,Female,Remanded,Other,0
2007-03-01,NT,Female,Sentenced,ATSI,0
2007-03-01,NT,Female,Sentenced,Other,0
2007-03-01,NT,Male,Remanded,ATSI,130
2007-03-01,NT,Male,Remanded,Other,28
2007-03-01,NT,Male,Sentenced,ATSI,0
2007-03-01,NT,Male,Sentenced,Other,0
2007-03-01,QLD,Female,Remanded,ATSI,31
2007-03-01,QLD,Female,Remanded,Other,77
2007-03-01,QLD,Female,Sentenced,ATSI,0
2007-03-01,QLD,Female,Sentenced,Other,0
2007-03-01,QLD,Male,Remanded,ATSI,299
2007-03-01,QLD,Male,Remanded,Other,835
2007-03-01,QLD,Male,Sentenced,ATSI,0
2007-03-01,QLD,Male,Sentenced,Other,0
2007-03-01,SA,Female,Remanded,ATSI,11
2007-03-01,SA,Female,Remanded,Other,37
2007-03-01,SA,Female,Sentenced,ATSI,0
2007-03-01,SA,Female,Sentenced,Other,0
2007-03-01,SA,Male,Remanded,ATSI,136
2007-03-01,SA,Male,Remanded,Other,415
2007-03-01,SA,Male,Sentenced,ATSI,0
2007-03-01,SA,Male,Sentenced,Other,0
2007-03-01,TAS,Female,Remanded,ATSI,3
2007-03-01,TAS,Female,Remanded,Other,7
2007-03-01,TAS,Female,Sentenced,ATSI,0
